'barcode';'BC';20.30;246.80;140.30;254.30;'Interleaved 2of5 NT';0.75;0;0;0;0;0;'I';'200000000001000159053338016581200810081';3
'barcode_readable';'T';19.30;253.30;140.30;260.30;'Arial';10.00;0;0;0;0;0;'I';'200000000001000159053338016581200810081';3
'box';'B';15.30;15.30;185.30;260.30;'Arial';0.00;0;0;0;0;0;'I';None;0
'box_x';'B';95.30;15.30;105.30;25.30;'Arial';0.00;1;0;0;0;0;'I';None;2
'company_footer1';'T';115.30;45.30;175.30;50.30;'Arial';10.00;0;0;0;0;0;'I';'Company footer 1';2
'company_footer2';'T';115.30;50.30;175.30;55.30;'Arial';10.00;0;0;0;0;0;'I';'Company footer 2';2
'company_header1';'T';17.30;40.30;85.30;45.30;'Arial';10.00;0;0;0;0;0;'I';'Company header 1';2
'company_header2';'T';17.30;45.30;85.30;50.30;'Arial';10.00;0;0;0;0;0;'I';'Company header 2';2
'company_logo';'I';20.30;17.30;55.70;30.30;None;0.00;0;0;0;0;0;'I';'../tutorial/logo.png';2
'company_name';'T';17.30;32.80;98.30;37.80;'Arial';12.00;1;0;0;0;0;'I';'Company name';2
'currency';'T';42.30;90.30;67.30;94.30;'Arial';10.00;0;0;0;0;65535;'I';'U.S.D.';0
'currency_l';'T';17.30;90.30;65.30;94.30;'Arial';10.00;0;0;0;0;0;'I';'Currency:';0
'customer_address';'T';35.30;64.30;160.30;70.30;'Arial';10.00;0;0;0;0;65535;'I';None;0
'customer_address_l';'t';17.30;64.30;35.30;70.30;'Arial';10.00;0;0;0;0;0;'I';'Address:';0
'customer_city';'T';133.30;69.30;175.30;75.30;'Arial';10.00;0;0;0;0;65535;'I';None;0
'customer_city_l';'T';115.30;69.30;133.30;75.30;'Arial';10.00;0;0;0;0;0;'I';'City:';0
'customer_country';'T';133.30;73.30;175.30;79.30;'Arial';10.00;0;0;0;0;65535;'I';None;0
'customer_name';'T';35.30;59.30;175.30;65.30;'Arial';10.00;0;0;0;0;65535;'I';None;0
'customer_name_l';'T';17.30;59.30;30.30;65.30;'Arial';10.00;0;0;0;0;0;'I';'Bill to:';0
'customer_phone';'T';35.30;69.30;115.30;75.30;'Arial';10.00;0;0;0;0;65535;'I';None;0
'customer_phone_l';'T';17.30;69.30;35.30;75.30;'Arial';10.00;0;0;0;0;0;'I';'Phone/Fax:';0
'customer_taxid';'T';135.30;74.30;175.30;79.30;'Arial';10.00;0;0;0;0;65535;'I';None;0
'customer_taxid_l';'T';115.30;74.30;135.30;79.30;'Arial';10.00;0;0;0;0;0;'I';'Tax ID:';0
'customer_vat';'T';35.30;74.30;105.30;79.30;'Arial';10.00;0;0;0;0;0;'I';None;0
'customer_vat_l';'T';17.30;74.30;32.30;79.30;'Arial';10.00;0;0;0;0;0;'I';'VAT:';0
'document_copy';'T';105.30;21.30;140.30;25.30;'Arial';8.00;0;0;0;0;0;'C';'Original';2
'document_label';'T';105.30;15.90;180.30;21.10;'Arial Black';13.00;0;0;0;0;0;'C';'INVOICE';2
'document_number';'T';115.30;27.80;125.30;33.30;'Arial';14.00;1;0;0;0;0;'I';'N°: ';2
'document_type';'T';95.30;16.10;105.30;24.30;'Arial';16.00;1;0;0;0;0;'C';'X';2
'due_date';'T';65.30;82.30;85.30;86.30;'Arial';10.00;0;0;0;0;65535;'I';'31/12/2009';0
'due_date_l';'T';17.30;82.30;65.30;86.30;'Arial';10.00;0;0;0;0;0;'I';'Due Date:';0
'issue_date';'T';135.30;33.30;175.30;40.30;'Arial';12.00;0;0;0;0;65535;'I';None;0
'issue_date_l';'T';115.30;33.30;175.30;40.30;'Arial';12.00;0;0;0;0;0;'I';'Date:';0
'item_amount';'T';160.30;97.30;185.30;102.30;'Arial';10.00;0;0;0;0;65535;'C';'Amount';0
'item_amount01';'T';160.30;103.30;183.30;108.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount02';'T';160.30;108.30;183.30;113.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount03';'T';160.30;113.30;183.30;118.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount04';'T';160.30;118.30;183.30;123.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount05';'T';160.30;123.30;183.30;128.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount06';'T';160.30;128.30;183.30;133.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount07';'T';160.30;133.30;183.30;138.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount08';'T';160.30;138.30;183.30;143.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount09';'T';160.30;143.30;183.30;148.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount10';'T';160.30;148.30;183.30;153.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount11';'T';160.30;153.30;183.30;158.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount12';'T';160.30;158.30;183.30;163.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount13';'T';160.30;163.30;183.30;168.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount14';'T';160.30;168.30;183.30;173.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount15';'T';160.30;173.30;183.30;178.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount16';'T';160.30;178.30;183.30;183.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount17';'T';160.30;183.30;183.30;188.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount18';'T';160.30;188.30;183.30;193.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount19';'T';160.30;193.30;183.30;198.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount20';'T';160.30;198.30;183.30;203.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount21';'T';160.30;203.30;183.30;208.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
'item_amount22';'T';160.30;208.30;183.30;213.30;'Arial';10.00;0;0;0;0;65535;'D';'';0
